"taxon","estimate","std_error","pval","pval_adj","comparison"
"1",-0.313391940665494,0.335549475006132,0.946033802709834,0.946033802709834,"cent vs eld"
"2",0.13418346961746,0.244788527879465,0.999871825027113,0.999871825027113,"cent vs eld"
"3",2.3656078065915,0.40428419221174,2.1187216464584e-06,2.1187216464584e-06,"cent vs eld"
"4",-0.550662122817156,0.230476000164726,0.170836903358395,0.170836903358395,"cent vs eld"
"5",1.20244666606109,0.385643465833285,0.0391540221559353,0.0391540221559353,"cent vs eld"
"6",-0.592415995414146,0.306512914945596,0.352287402372197,0.352287402372197,"cent vs eld"
"7",-1.19513766942909,0.50143986789449,0.170792353668483,0.170792353668483,"cent vs eld"
"8",-0.58024434789192,0.364572947843945,0.553585850381474,0.553585850381474,"cent vs eld"
"9",0.912405627708088,0.257764420440417,0.0147626982248366,0.0147626982248366,"cent vs eld"
"10",3.4212842411113,0.418591376511964,2.79073650918185e-11,2.79073650918185e-11,"cent vs eld"
"11",0.155054299401476,0.368653734066256,1,1,"cent vs eld"
"12",0.0713993140757771,0.326592854577865,1,1,"cent vs eld"
"13",-0.108572507053422,0.252305414698554,0.996435162191104,0.996435162191104,"cent vs eld"
"14",-0.0836978373917674,0.280294248765318,0.999489025218219,0.999489025218219,"cent vs eld"
"15",-1.31661808095984,0.410111376979267,0.024731998833439,0.024731998833439,"cent vs eld"
"16",-1.28780294876964,0.261565495123642,0.000108437232579254,0.000108437232579254,"cent vs eld"
"17",-1.28429339229933,0.509377081079782,0.154450754309898,0.154450754309898,"cent vs eld"
"18",-0.214430264548608,0.261533602858037,0.964290784655399,0.964290784655399,"cent vs eld"
"19",-0.0312133801968904,0.364781750275505,1,1,"cent vs eld"
"20",1.70812862391752,0.249208283051368,3.04303579274702e-08,3.04303579274702e-08,"cent vs eld"
"21",-0.37601623333065,0.299285077884119,0.775407720655522,0.775407720655522,"cent vs eld"
"22",-1.79450890091547,0.323777743845022,6.83249587303205e-06,6.83249587303205e-06,"cent vs eld"
"23",-0.720535739399746,0.289705499902008,0.136323484116493,0.136323484116493,"cent vs eld"
"24",3.49550977719098,0.506961206441091,3.20935386773129e-07,3.20935386773129e-07,"cent vs eld"
"25",-1.23494529908258,0.40770199565736,0.0390363121170512,0.0390363121170512,"cent vs eld"
"26",0.401987397195437,0.34914146701226,0.95238931785214,0.95238931785214,"cent vs eld"
"27",-0.144566353108895,0.318283784933829,0.997034308956038,0.997034308956038,"cent vs eld"
"28",2.87160982072278,0.503847983189083,8.37404827946248e-06,8.37404827946248e-06,"cent vs eld"
"29",-1.88942345171054,0.283344655605083,4.69259105238505e-08,4.69259105238505e-08,"cent vs eld"
"30",-0.16891516056981,0.240472973287651,0.978422147568833,0.978422147568833,"cent vs eld"
"31",-2.74745974531924,0.508068628362164,1.61744562113064e-05,1.61744562113064e-05,"cent vs eld"
"32",-0.224572261696921,0.265441310294126,0.946168782242097,0.946168782242097,"cent vs eld"
"33",0.344756649252428,0.418247388504998,0.999770815274713,0.999770815274713,"cent vs eld"
"34",1.0069332805669,0.372844119178568,0.108718043625673,0.108718043625673,"cent vs eld"
"35",-0.320916322889172,0.29213410083126,0.86622201116678,0.86622201116678,"cent vs eld"
"36",-0.481378501404665,0.255672944605121,0.383403841053128,0.383403841053128,"cent vs eld"
"37",0.295324927799152,0.318974247912976,0.989192220617114,0.989192220617114,"cent vs eld"
"38",-0.175223559731809,0.272332019368018,0.988472849587033,0.988472849587033,"cent vs eld"
"39",2.78799609464795,0.419358054085821,1.42525546755158e-07,1.42525546755158e-07,"cent vs eld"
"40",1.10855605346036,0.48278861100772,0.261798663744829,0.261798663744829,"cent vs eld"
"41",-2.33342003526898,0.522014980120513,0.000727700442266649,0.000727700442266649,"cent vs eld"
"42",2.16053858614341,0.434923610466555,0.000234464727664112,0.000234464727664112,"cent vs eld"
"43",0.0990233389228473,0.437805438288571,1,1,"cent vs eld"
"44",0.917252144254055,0.310988709440355,0.0678056247220522,0.0678056247220522,"cent vs eld"
"45",0.206134114607792,0.542690110788005,0.998702928546737,0.998702928546737,"cent vs eld"
"46",0.76261867072564,0.348717172654507,0.301015561443923,0.301015561443923,"cent vs eld"
"47",1.49421498257133,0.520175483540634,0.103996111192883,0.103996111192883,"cent vs eld"
"48",-0.451224800606384,0.516217593964058,0.857643928305914,0.857643928305914,"cent vs eld"
"49",-1.32204109833396,0.350369604265681,0.00504054454673276,0.00504054454673276,"cent vs eld"
"50",-0.660176200792895,0.272952491222151,0.158483790182044,0.158483790182044,"cent vs eld"
"51",-0.627135039386727,0.40490093191613,0.585906764090533,0.585906764090533,"cent vs eld"
"52",0.509084977385386,0.276114170150822,0.536812489062142,0.536812489062142,"cent vs eld"
"53",-1.60595688297421,0.44551726363711,0.00956308030380838,0.00956308030380838,"cent vs eld"
"54",1.78675532215493,0.466729303576554,0.00958932366003101,0.00958932366003101,"cent vs eld"
"55",-1.31434324528814,0.403228648499004,0.0246756219107464,0.0246756219107464,"cent vs eld"
"56",1.82719702952246,0.3339479850698,1.77699894348742e-05,1.77699894348742e-05,"cent vs eld"
"57",-0.795898956788083,0.457943962846532,0.463891240682311,0.463891240682311,"cent vs eld"
"58",-1.70900006921196,0.377951646322267,0.000439798228666597,0.000439798228666597,"cent vs eld"
"59",0.104426298860248,0.311452514672879,0.999159056274452,0.999159056274452,"cent vs eld"
"60",0.179842967113755,0.428576110622802,1,1,"cent vs eld"
"61",-0.547726059091141,0.361241072190403,0.610461544201744,0.610461544201744,"cent vs eld"
"62",1.40517374472768,0.293463254467269,0.000202802421767021,0.000202802421767021,"cent vs eld"
"63",-1.37225059099152,0.420626812536399,0.0230124719753016,0.0230124719753016,"cent vs eld"
"64",0.0786503156727815,0.501747420917176,0.993468759758672,0.993468759758672,"cent vs eld"
"65",0.862674458242462,0.324143073045228,0.130469636499112,0.130469636499112,"cent vs eld"
"66",-0.767073009309935,0.363659806881814,0.272802664021038,0.272802664021038,"cent vs eld"
"67",1.91296554533394,0.510751529909182,0.00692903421570072,0.00692903421570072,"cent vs eld"
"68",-0.755781202210709,0.352903322744561,0.259075589434648,0.259075589434648,"cent vs eld"
"69",2.18235572943384,0.440705645712063,0.000293529386541449,0.000293529386541449,"cent vs eld"
"70",-1.48061736541584,0.495877747137429,0.0541526560903738,0.0541526560903738,"cent vs eld"
"71",-0.288909676637164,0.446331811379161,0.871194093097045,0.871194093097045,"cent vs eld"
"72",0.21469753753884,0.393570682889822,0.999486534619589,0.999486534619589,"cent vs eld"
"73",-0.178418099560573,0.529522642431663,0.995970421685579,0.995970421685579,"cent vs eld"
"74",-2.13599803742326,0.478457324139265,0.00091657566817576,0.00091657566817576,"cent vs eld"
"75",-0.459607480692214,0.370296720510077,0.785354709290128,0.785354709290128,"cent vs eld"
"76",1.9503811964667,0.521615400887483,0.0279934690952434,0.0279934690952434,"cent vs eld"
"77",-1.91636689601314,0.357080973773358,2.99082583698445e-05,2.99082583698445e-05,"cent vs eld"
"78",0.855386473042799,0.54951016987693,0.697907872800692,0.697907872800692,"cent vs eld"
"79",2.02811793329813,0.422143686562723,0.000341164251654812,0.000341164251654812,"cent vs eld"
"80",-0.804041466824679,0.341582268933752,0.184724607094628,0.184724607094628,"cent vs eld"
"81",0.851805604169819,0.280998922048488,0.0592817513574054,0.0592817513574054,"cent vs eld"
"82",-0.45138206777769,0.598819265337359,0.945287687027676,0.945287687027676,"cent vs eld"
"83",-0.0754451698142476,0.479561879372979,1,1,"cent vs eld"
"84",0.216813029419765,0.418927807806601,1,1,"cent vs eld"
"85",0.634680267018666,0.453110709233782,0.863463645830691,0.863463645830691,"cent vs eld"
"86",0.474732592975928,0.583519300364053,0.952877518168222,0.952877518168222,"cent vs eld"
"87",1.99295247953913,0.499746624139361,0.007308054528319,0.007308054528319,"cent vs eld"
"88",1.75505634997836,0.560709045132041,0.0724968184446571,0.0724968184446571,"cent vs eld"
"89",-3.29510231924384,0.448936150221784,6.18554983809915e-09,6.18554983809915e-09,"cent vs eld"
"90",1.2070002872524,0.376348455885829,0.0567145050872521,0.0567145050872521,"cent vs eld"
"91",1.04607761598098,0.537852003297107,0.470463759389028,0.470463759389028,"cent vs eld"
"92",0.511113847627682,0.236583177180644,0.333210167370298,0.333210167370298,"cent vs eld"
"93",1.01365732422484,0.418771250770886,0.237119728461789,0.237119728461789,"cent vs eld"
"94",-0.77335177769235,0.323089147259925,0.173010717281652,0.173010717281652,"cent vs eld"
"95",1.0030076490399,0.424513551019543,0.246887781129341,0.246887781129341,"cent vs eld"
"96",0.615907947306385,0.317396848455299,0.463149500203287,0.463149500203287,"cent vs eld"
